Applicant ID,School Name,GPA,Degree,Location,Gender,Veteran status,Work authorization,Disability,Ethnicity,Role 1,Start 1,End 1,Role 2,Start 2,End 2,Role 3,Start 3,End 3,Resume score,Interview prediction
1,Providence College,3.2,Bachelors,Detroit,N/A,0,0,0,4,Bus Driver,1/12,1/20,N/A,N/A,N/A,N/A,N/A,N/A,6.48,0
2,Brown University,3.2,Bachelors,Los Angeles,F,1,0,1,1,ML Engineer,7/15,7/17,Junior SWE,6/18,6/20,ML Engineer,9/13,9/15,7.88,0
3,Colgate University,3.6,Masters,Washington D.C.,M,N/A,0,1,2,Bus Driver,1/14,1/20,Junior SWE,2/14,2/17,N/A,N/A,N/A,3.95,0
4,Colgate University,1.2,Masters,Chicago,M,1,0,1,3,Bus Driver,8/11,8/19,N/A,N/A,N/A,N/A,N/A,N/A,3.76,1
5,Brown University,3.5,Masters,Washington D.C.,N/A,N/A,0,N/A,2,Senior SWE,6/11,6/16,Lawyer,10/14,10/22,Senior SWE,2/19,2/20,6.6,0
6,SUNY New Paltz,3.8,Masters,Providence,N/A,N/A,1,0,2,Bus Driver,6/22,10/22,Bus Driver,1/15,1/20,N/A,N/A,N/A,6.57,0
7,SUNY Binghamton University,3.9,Phd,New York City,N/A,N/A,0,0,1,Bus Driver,11/10,11/17,Chef,12/18,12/22,Senior SWE,10/13,10/20,1.78,0
8,Providence College,2.4,Phd,Detroit,N/A,1,1,N/A,2,Bus Driver,8/14,8/16,Junior SWE,7/22,12/22,Lawyer,10/15,10/16,6.76,0
9,SUNY Binghamton University,2.9,Bachelors,Boston,F,1,1,N/A,1,Data scientist,5/14,5/19,Chef,4/19,4/20,Lawyer,3/12,3/18,2.69,0
10,SUNY New Paltz,2.4,Masters,New York City,F,N/A,0,1,2,Bus Driver,3/21,11/21,Lawyer,3/21,3/22,Data scientist,11/16,11/21,6.69,0
11,SUNY Binghamton University,2.6,Phd,Chicago,N/A,1,1,1,0,Senior SWE,1/11,1/16,Data scientist,1/23,9/23,Senior SWE,9/13,9/21,9.82,0
12,Providence College,1.4,Bachelors,Los Angeles,F,0,1,1,0,Junior SWE,5/21,5/22,Chef,9/10,9/20,Lawyer,11/13,11/21,8.68,0
13,SUNY New Paltz,2.8,Bachelors,Boston,F,1,1,0,3,Senior SWE,10/18,10/19,Junior SWE,3/18,3/19,ML Engineer,4/11,4/17,0.97,0
14,Columbia University,3.0,Bachelors,Chicago,M,0,1,1,2,Lawyer,6/11,6/14,Lawyer,10/23,11/23,Junior SWE,6/23,7/23,0.78,0
15,Bentley University,2.6,Bachelors,Providence,N/A,1,1,0,1,Data scientist,3/17,N/A,Lawyer,9/22,11/22,Chef,12/16,12/20,9.38,0
16,SUNY Binghamton University,2.9,Bachelors,New York City,N/A,1,0,0,4,Chef,6/20,6/22,ML Engineer,4/20,4/22,N/A,N/A,N/A,1.86,0
17,SUNY New Paltz,2.7,Phd,Chicago,F,N/A,1,0,2,Bus Driver,5/17,5/21,N/A,N/A,N/A,N/A,N/A,N/A,2.17,1
18,Brown University,2.8,Phd,Providence,F,0,1,0,2,Data scientist,11/14,11/18,ML Engineer,4/17,4/20,Bus Driver,10/23,11/23,6.19,1
