Applicant ID,School Name,GPA,Degree,Location,Gender,Veteran status,Work authorization,Disability,Ethnicity,Role 1,Start 1,End 1,Role 2,Start 2,End 2,Role 3,Start 3,End 3
1,Providence College,3.200000000000002,Bachelors,Detroit,N/A,0,0,0,4,Bus Driver,1/12,1/20,N/A,N/A,N/A,N/A,N/A,N/A
2,Brown University,3.200000000000002,Bachelors,Los Angeles,F,1,0,1,1,ML Engineer,7/15,7/17,Junior SWE,6/18,6/20,ML Engineer,9/13,9/15
3,Colgate University,3.6000000000000023,Masters,Washington D.C.,M,N/A,0,1,2,Bus Driver,1/14,1/20,Junior SWE,2/14,2/17,N/A,N/A,N/A
4,Colgate University,1.2,Masters,Chicago,M,1,0,1,3,Bus Driver,8/11,8/19,N/A,N/A,N/A,N/A,N/A,N/A
5,Brown University,3.5000000000000018,Masters,Washington D.C.,N/A,N/A,0,N/A,2,Senior SWE,6/11,6/16,Lawyer,10/14,10/22,Senior SWE,2/19,2/20
6,SUNY New Paltz,3.8000000000000025,Masters,Providence,N/A,N/A,1,0,2,Bus Driver,6/22,10/22,Bus Driver,1/15,1/20,N/A,N/A,N/A
7,SUNY Binghamton University,3.900000000000002,Phd,New York City,N/A,N/A,0,0,1,Bus Driver,11/10,11/17,Chef,12/18,12/22,Senior SWE,10/13,10/20
8,Providence College,2.4000000000000012,Phd,Detroit,N/A,1,1,N/A,2,Bus Driver,8/14,8/16,Junior SWE,7/22,12/22,Lawyer,10/15,10/16
9,SUNY Binghamton University,2.9000000000000012,Bachelors,Boston,F,1,1,N/A,1,Data scientist,5/14,5/19,Chef,4/19,4/20,Lawyer,3/12,3/18
10,SUNY New Paltz,2.4000000000000012,Masters,New York City,F,N/A,0,1,2,Bus Driver,3/21,11/21,Lawyer,3/21,3/22,Data scientist,11/16,11/21
11,SUNY Binghamton University,2.6000000000000014,Phd,Chicago,N/A,1,1,1,0,Senior SWE,1/11,1/16,Data scientist,1/23,9/23,Senior SWE,9/13,9/21
12,Providence College,1.4000000000000001,Bachelors,Los Angeles,F,0,1,1,0,Junior SWE,5/21,5/22,Chef,9/10,9/20,Lawyer,11/13,11/21
13,SUNY New Paltz,2.8000000000000016,Bachelors,Boston,F,1,1,0,3,Senior SWE,10/18,10/19,Junior SWE,3/18,3/19,ML Engineer,4/11,4/17
14,Columbia University,3.0000000000000018,Bachelors,Chicago,M,0,1,1,2,Lawyer,6/11,6/14,Lawyer,10/23,11/23,Junior SWE,6/23,7/23
15,Bentley University,2.6000000000000014,Bachelors,Providence,N/A,1,1,0,1,Data scientist,3/17,N/A,Lawyer,9/22,11/22,Chef,12/16,12/20
16,SUNY Binghamton University,2.9000000000000012,Bachelors,New York City,N/A,1,0,0,4,Chef,6/20,6/22,ML Engineer,4/20,4/22,N/A,N/A,N/A
17,SUNY New Paltz,2.700000000000001,Phd,Chicago,F,N/A,1,0,2,Bus Driver,5/17,5/21,N/A,N/A,N/A,N/A,N/A,N/A
18,Brown University,2.8000000000000016,Phd,Providence,F,0,1,0,2,Data scientist,11/14,11/18,ML Engineer,4/17,4/20,Bus Driver,10/23,11/23
19,SUNY Binghamton University,1.2,Bachelors,Detroit,F,1,0,N/A,1,Lawyer,9/14,12/14,ML Engineer,9/16,9/19,Chef,4/17,9/17
20,Rhode Island School of Design,3.700000000000002,Masters,Boston,F,0,0,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
21,SUNY Binghamton University,3.900000000000002,Bachelors,Boston,M,1,1,1,2,Junior SWE,1/14,1/16,Chef,2/16,2/17,N/A,N/A,N/A
22,Colgate University,2.6000000000000014,Bachelors,Washington D.C.,N/A,0,1,N/A,2,Data scientist,3/11,3/21,Data scientist,5/10,5/21,Chef,3/21,12/21
23,Bentley University,1.8000000000000005,Bachelors,Miami,N/A,0,0,0,0,Junior SWE,5/16,5/17,ML Engineer,11/18,11/20,Data scientist,9/22,11/22
24,Rhode Island School of Design,2.9000000000000012,Bachelors,Miami,M,N/A,1,0,2,Bus Driver,11/20,12/20,N/A,N/A,N/A,N/A,N/A,N/A
25,Rhode Island School of Design,3.1000000000000014,Bachelors,Miami,F,N/A,0,N/A,4,Lawyer,4/17,10/17,ML Engineer,9/10,9/13,Lawyer,4/19,4/22
26,Brown University,1.4000000000000001,Bachelors,New York City,N/A,1,1,1,1,Chef,10/14,10/18,ML Engineer,7/15,7/20,Data scientist,5/13,5/20
27,Bentley University,2.000000000000001,Bachelors,Detroit,M,0,1,0,4,Senior SWE,6/19,N/A,Junior SWE,10/15,10/20,Data scientist,2/20,4/20
28,Providence College,3.400000000000002,Masters,New York City,N/A,0,0,N/A,1,Data scientist,7/17,10/17,Junior SWE,7/20,7/22,Data scientist,2/21,2/22
29,SUNY New Paltz,1.9000000000000006,Phd,Boston,N/A,N/A,0,N/A,3,Lawyer,4/12,4/15,Junior SWE,4/21,4/22,Lawyer,11/17,12/17
30,Bentley University,1.4000000000000001,Phd,New York City,F,N/A,1,1,3,Junior SWE,1/23,11/23,Data scientist,12/21,1/22,Chef,8/20,8/22
31,Brown University,2.3000000000000007,Phd,Los Angeles,M,1,0,0,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
32,Providence College,1.5000000000000002,Bachelors,Providence,N/A,0,0,1,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
33,Columbia University,2.6000000000000014,Phd,Miami,N/A,N/A,0,N/A,4,Junior SWE,7/19,7/21,ML Engineer,12/20,1/21,Senior SWE,10/17,10/19
34,Rhode Island School of Design,3.200000000000002,Phd,Detroit,M,0,1,0,3,Data scientist,6/22,9/22,Chef,2/11,2/20,Senior SWE,6/14,6/21
35,Providence College,2.8000000000000016,Masters,Los Angeles,N/A,1,0,1,4,Bus Driver,2/19,2/22,N/A,N/A,N/A,N/A,N/A,N/A
36,SUNY Binghamton University,4.000000000000003,Bachelors,Boston,N/A,1,0,1,2,Bus Driver,1/19,1/20,Junior SWE,11/11,11/20,Junior SWE,8/12,8/19
37,Columbia University,2.700000000000001,Bachelors,Washington D.C.,M,N/A,1,N/A,0,Senior SWE,8/18,12/18,Bus Driver,9/18,9/21,Lawyer,4/18,4/21
38,Providence College,2.500000000000001,Masters,Chicago,F,0,1,1,1,Data scientist,8/14,8/18,N/A,N/A,N/A,N/A,N/A,N/A
39,Providence College,1.9000000000000006,Bachelors,Providence,F,N/A,1,N/A,1,Chef,4/22,12/22,N/A,N/A,N/A,N/A,N/A,N/A
40,Rhode Island School of Design,1.8000000000000005,Bachelors,Washington D.C.,F,0,0,N/A,3,ML Engineer,11/16,11/22,Senior SWE,4/11,4/20,Bus Driver,3/17,11/17
41,Bentley University,1.3,Phd,Los Angeles,F,1,1,N/A,3,Junior SWE,6/12,6/15,Senior SWE,6/16,6/18,Bus Driver,5/12,5/13
42,SUNY Binghamton University,1.6000000000000003,Masters,Detroit,F,N/A,0,0,0,Lawyer,12/11,12/16,Bus Driver,8/21,10/21,Bus Driver,4/10,4/14
43,Colgate University,1.2,Phd,Chicago,M,1,1,0,4,Data scientist,9/12,9/13,ML Engineer,11/21,12/21,Data scientist,9/16,11/16
44,Providence College,1.5000000000000002,Masters,Washington D.C.,M,1,0,0,4,Bus Driver,6/15,6/18,Lawyer,3/18,12/18,Data scientist,10/17,10/18
45,Rhode Island School of Design,2.1000000000000005,Phd,Boston,N/A,1,0,0,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
46,Rhode Island School of Design,2.700000000000001,Masters,New York City,M,N/A,0,N/A,0,Bus Driver,10/12,10/19,Junior SWE,12/19,12/22,ML Engineer,2/23,11/23
47,Columbia University,2.700000000000001,Phd,Providence,N/A,1,1,1,0,Senior SWE,7/20,10/20,Junior SWE,8/15,8/21,Senior SWE,9/13,9/21
